a,b
https://naturalia.fr/baguette-classique-sg-360g,https://www.greenweez.com/schnitzer-cake-citron-sans-gluten-200gr-p68952
https://naturalia.fr/bioflan-citron-2x1-4l,https://www.greenweez.com/natali-bioflan-citron-sans-sucre-7g-p29384
https://www.greenweez.com/soy-galettes-grinioc-riz-legumes-et-safran-2x100g-p85985,https://www.webecologie.com/boisson-a-base-de-riz/9411-boisson-au-riz-de-camargue-3259011091270.html
https://naturalia.fr/soba-40-250g,https://www.webecologie.com/pates-bio/3998-nouilles-a-base-sarrasin-complet-soba-100-5411788046091.html?PageSpeed=noscript
https://naturalia.fr/soya-party-70g,https://www.greenweez.com/soy-graines-de-soja-toastees-nature-p24107
https://naturalia.fr/biere-grenade-6x25cl,https://www.greenweez.com/jade-biere-ambree-bio-jade-6x25cl-p104094
https://naturalia.fr/falafel-ging-coriandre-200g,https://www.greenweez.com/lima-prune-umeboshi-200g-p83015
https://www.carrefour.fr/p/petits-pots-bebe-des-8-mois-carotte-quinoa-babybio-3288131510552,https://www.webecologie.com/petit-pot/131-petits-pots-mouline-de-carotte-des-landes-quinoa-3288131510552.html?PageSpeed=noscript
https://naturalia.fr/panna-cotta-45g,https://www.webecologie.com/farine-bio-aide-a-la-patisserie/9062-preparation-creme-brulee-3176800033412.html
https://www.carrefour.fr/p/plat-bebe-des-8-mois-legumes-babybio-3288131520872,https://www.webecologie.com/petit-pot/114-petit-pot-bio-jardiniere-de-legumes-3288131510439.html?PageSpeed=noscript
https://www.greenweez.com/pronatura-dattes-deglet-nour-ravier-demeter-250g-p99667,https://www.webecologie.com/fruits-secs/10006-dattes-mazafati-3760099532949.html
https://naturalia.fr/gaspacho-vert-500g,https://www.greenweez.com/danival-fondue-de-poireaux-500g-p107932
https://www.greenweez.com/primeal-veloute-de-champignons-1l-p76818,https://www.webecologie.com/champignon-algue-bio/7436-champignons-de-paris-eminces-3380390500302.html?PageSpeed=noscript
https://naturalia.fr/tamari-strong-145ml,https://www.webecologie.com/epice-condiment-bio/3882-sauce-de-soja-fermente-bio-tamari-145-ml-5411788044745.html?PageSpeed=noscript
https://www.greenweez.com/bio-par-coeur-mayonnaise-a-la-moutarde-de-dijon-bio-315g-p45830,https://www.webecologie.com/sauce-bio/9041-mayonnaise-tube-3700477609016.html
https://naturalia.fr/lentilles-vertes-carottes-250g,https://www.greenweez.com/beendhi-assaisonnement-bouquet-garni-et-legumes-40g-p101771
https://www.greenweez.com/yogi-tea-infusion-bonheur-17-sachets-p5466,https://www.webecologie.com/yogi-tea/9916-infusion-bonheur-4012824401471.html
https://www.carrefour.fr/p/miel-cremeux-de-tilleul-bio-rigoni-di-asiago-8001505000900,https://www.greenweez.com/rigoni-di-asiago-miel-cremeux-d-oranger-bio-italie-300g-p81211
https://www.carrefour.fr/p/petits-pots-bebe-des-4-mois-carotte-potimarron-babybio-3288131510422,https://www.webecologie.com/petit-pot/118-petit-pot-bio-carotte-potimaron-3288131510422.html?PageSpeed=noscript
https://naturalia.fr/potage-cepes-17g,https://www.webecologie.com/soupe-bio/3785-potabio-aux-cepes-bio-3176800031890.html
https://www.carrefour.fr/p/the-bio-vert-gingembre-citron-vert-ethiquable-3760091720160,https://www.greenweez.com/ethiquable-gourdes-ananas-citron-vert-4x90g-p86164
https://www.carrefour.fr/p/lait-bebe-liquide-des-10-mois-babybio-3288131500072,https://www.greenweez.com/babybio-caprea-3-lait-de-croissance-au-lait-de-chevre-bio-des-10-mois-p80643
https://www.greenweez.com/pural-pain-complet-au-seigle-pumpernickel-375-g-p99351,https://www.webecologie.com/pains/10929-pain-complet-riz-sans-gluten-3184340865066.html
https://www.greenweez.com/primeal-macaroni-demi-completes-5kg-p108290,https://www.webecologie.com/pates-bio/2972-macaroni-demi-complets-bio-3380390187404.html
